study;year;no;study_type;latitude;longitude;ecosystem;altitude;sampling_month;genus;species;stage;astaxanthin_or_carotenoids;astaxanthin_on_total_car;asta_form;concentration;unit;daily_pic_moment;seasonal_pic_season;seasonal_pic_month;predator_abundance;comments
Gorokhova et al.;2013;;redness and fitness;59;25;marine;NA;august;Eurytemora;Eurytemora affinis;mixed;NA;NA;NA;NA;NA;NA;NA;NA;high;pigmented/unpigmented classification, dark pigmentation
Gorokhova et al.;2013;;redness and fitness;59;25;marine;NA;august;Eurytemora;Eurytemora affinis;mixed;NA;NA;NA;NA;NA;NA;NA;NA;high;pigmented/unpigmented classification, dark pigmentation
Anderson et al.;2003;;diet effect;54;12;marine;NA;september_july;Acartia;Acartia spp.;mixed;astaxanthin;88;72% free, 29% monoesters, <1% diesters;2.5;pmol.ind-1;max morning ;NA;NA;NA;Acartia dominiated communities
Hairston;1976;;redness and fitness;47.4;-119.5;freshwater;328;NA;Diaptomus;Diaptomus nevadensis;mixed;astaxanthin;dominance;NA;0.63;OD/mgdrywt;NA;winter;NA;low;
Hairston;1976;;redness and fitness;47.5;-119.5;freshwater;328;NA;Diaptomus;Diaptomus nevadensis;mixed;astaxanthin;dominance;NA;0.138;OD/mgdrywt;NA;winter;NA;high;
Bandaranayake and Gentien;1982;;pigment identification/quantification;-18.5;147;marine;NA;NA;Temora;Temora turbinata;mixed;carotenoids;dominance;esters dominant;NA;NA;NA;NA;NA;NA;red chromatophores
Bandaranayake and Gentien;1982;;pigment identification/quantification;-18.5;147;marine;NA;NA;Centropages;Centropages furcatus;mixed;carotenoids;dominance;esters dominant, free form with protein;NA;NA;NA;NA;NA;NA;red and blue chromatophores
Bandaranayake and Gentien;1982;;pigment identification/quantification;-18.5;147;marine;NA;NA;Undinula;Undinula vulgaris;mixed;carotenoids;dominance;esters dominant, free form with protein;NA;NA;NA;NA;NA;NA;red and blue chromatophores
Bandaranayake and Gentien;1982;;pigment identification/quantification;-18.5;147;marine;NA;NA;Euchaeta;Euchaeta russeli;mixed;carotenoids;minority;free form dominant, association with protein;NA;NA;NA;NA;NA;NA;deep species, orange color and blue eggs, with canthaxanthin
Byron;1982;;forcing variables + redness and fitness;40;-105;freshwater;3216;june_july_september_october;Diaptomus;Diaptomus leptopus;mixed;carotenoids;dominance;NA;1.86;OD/mgdrywt;NA;NA;NA;null;optical density of a 10mL extract of 10-15 copepod, corrected for total dry mass, some copepods were blue un summer
Byron;1982;;forcing variables + redness and fitness;40.08;-105.54;freshwater;3101;june_july_september_october;Diaptomus;Diaptomus leptopus;mixed;carotenoids;dominance;NA;0.81;OD/mgdrywt;NA;NA;NA;high;optical density of a 10mL extract of 10-15 copepod, corrected for total dry mass, some copepods were blue un summer
Byron;1982;;forcing variables + redness and fitness;39.71;-104.97;freshwater;3106;june_july_september_october;Diaptomus;Diaptomus leptopus;mixed;carotenoids;dominance;NA;0.83;OD/mgdrywt;NA;NA;NA;NA;optical density of a 10mL extract of 10-15 copepod, corrected for total dry mass, some copepods were blue un summer
Byron;1981;;redness and fitness;40.08;-105.54;freshwater;3101;june_july_september_october;Diaptomus;Diaptomus leptopus;mixed;carotenoids;NA;NA;0.242;A/mg;NA;NA;NA;high;
Byron;1981;;redness and fitness;40;-105;freshwater;3216;june_july_september_october;Diaptomus;Diaptomus leptopus;mixed;carotenoids;NA;NA;2.76;A/mg;NA;NA;NA;null;
Byron;1981;;redness and fitness;39.2;-105.5;freshwater;3292;june_july_september_october;Diaptomus;Diaptomus shoshone;mixed;carotenoids;NA;NA;3;A/mg;NA;NA;NA;null;
Ringelberg et al. ;1984;;redness and fitness;45;2;freshwater;1197;june_july;Acanthodiaptomus;Acanthodiaptomus denticornis;mixed;NA;NA;NA;NA;NA;NA;NA;NA;high;red/pale morph
