study;year;no;condition;forcing_variable;group;asta_correlation;confidence;comments
Anderson et al.;2003;;mesocosm;diet_composition;diet;increase;high;more lutein and zeaxanthin precursors in phytoplankton
Anderson et al.;2003;;mesocosm;diet_quantity;diet;increase;high;five fold higher phytoplankton biomass
Anderson et al.;2003;;mesocosm;feeding_activity;diet;increase;high ;pic at sunrise, as the feeding activity
Anderson et al.;2003;;mesocosm;diurnal_variations;light_radiations;increase;high;correlated with feeding activity
Byron;1982;;in vivo ;lake_elevation;env;increase;high;strong red pigmentation for lakes >2500m
Byron;1982;;in vivo ;lake_depth;env;decrease;high;strong red pigmentation for lakes >2500m
Byron;1982;;in vivo ;UV_radiations;light_radiations;decrease;high;negative correlation between color and UV 
Byron;1982;;in vivo ;temperature;env;decrease;high;most important variable : metabolic hypotheis
Byron;1982;;in vivo ;diet_quantity;diet;no change;high;chla and phytoplanktonic carotenoids as an index of biomass
Byron;1982;;in vivo ;fish_presence;predation;decrease;medium;especially true for large copepods in laboratory experiments, in the wild reddest copepods are found in fishless lakes
Brüsin et al.;2016;;in vitro;UV_radiations;light_radiations;increase;medium;D. castor males, medium confidence because of the way color is quantified on photos
Brüsin et al.;2016;;in vitro;fish_presence;predation;no change;medium;D. castor males
Brüsin et al.;2016;;in vitro;UV_radiations;light_radiations;no change;medium;D. castor females
Brüsin et al.;2016;;in vitro;fish_presence;predation;no change;medium;D. castor females
Brüsin et al.;2016;;in vitro;fish_presence;predation;decrease;medium;D. castor juveniles
Brüsin et al.;2016;;in vitro;UV_fish;predation;decrease;medium;D. castor juveniles
Brüsin et al.;2016;;in vitro;UV_radiations;light_radiations;increase;medium;E. gracialis females
Brüsin et al.;2016;;in vitro;UV_radiations;light_radiations;increase;medium;E. gracialis juveniles
Brüsin et al.;2016;;in vitro;fish_presence;predation;no change;medium;E. gracialis females and juveniles
Brüsin et al.;2016;;in vitro;UV_fish;predation;no change;medium;E. gracialis females and juveniles
Caramujo et al.;2012;;in vitro;UV_radiations;light_radiations;decrease;high;diminution of astaxanthin concentration justified by the oxidative degradation of the carotenoid
Caramujo et al.;2012;;in vitro;copper;NA;decrease;high;caused by oxidative stress induced by copper
Caramujo et al.;2012;;in vitro;UV_radiation_copper;NA;decrease;high ;increased destructive potential of ROS
Caramujo et al.;2012;;in vitro;diet_composition;diet;increase;high;increase up to five-fold depending on carotenoids availibitly in the diet
Caramujo et al.;2012;;in vitro;diet_composition_copper;NA;decrease;high;less decrease if good diet composition 
Davenport et al. ;2004;;in vitro;diet_composition;diet;increase;high;no synthesis of astaxanthin with a yeast-diet
Hairston;1979;a;in vitro;diet_composition;diet;increase;high;
Hairston;1979;a;in vivo ;gut_content;NA;increase;high;%full
Hairston;1979;a;in vivo ;body_weight;NA;no change;high;
Hairston;1979;a;in vivo ;diet_quantity;diet;increase;low;Chla as an biomass index but probably no meaningfull correlations
Hairston;1979;a;in vivo ;diet_quantity;diet;no change;low;Chla as an biomass index but probably no meaningfull correlations
Hairston;1979;a;in vivo ;lipid_content;metabolism;no change;high;
Hairston;1979;a;in vivo ;lipid_content;metabolism;decrease;medium;
Hairston;1979;a;in vivo ;natural_light;light_radiations;increase;high;
Hairston;1979;b;in vivo ;egg_ratio;metabolism;no change;high;D. silicis in Soap lake
Hairston;1979;b;in vivo ;egg_ratio;metabolism;increase;medium;D. nevadensis in Soap lake
Hairston;1979;b;in vivo ;egg_ratio;metabolism;increase;high;D. silicis in lake Lenore
Hairston;1979;b;in vivo ;egg_ratio;metabolism;increase;high;D. nevadensis in lake Lenore
Hairston;1980;;in vivo ;diurnal_variations;light_radiations;no change;high;new test of correlation for data of Ringelberg (1976) in Lac Pavin
Hairston;1980;;in vivo ;diurnal_variations;light_radiations;no change;high;new test of correlation for data of Ringelberg (1976) in Lac Pavin
Hairston;1980;;in vivo ;diurnal_variations;light_radiations;no change;high;new test of correlation for data of Ringelberg (1976) in Lac Pavin
Hairston;1980;;in vivo ;diurnal_variations;light_radiations;no change;high;pond : little bullhead
Hairston;1980;;in vivo ;diurnal_variations;light_radiations;no change;high;pond : bullhead
Hairston;1980;;in vivo ;diurnal_variations;light_radiations;no change;high;pond A
Hairston;1980;;in vivo ;diurnal_variations;light_radiations;no change;high;pond C
Hallegraeff et al.;1978;;in vivo;diurnal_variations;light_radiations;increase;low;no statistical test
Hansson;2000;b;in vivo;latitude_discrete;env;increase;medium;
Hansson;2000;b;in vitro;UV_radiations;light_radiations;increase;high;
Hansson;2000;b;in vivo;lake_depth;env;decrease;high;
Hansson;2000;b;in vivo;fish_presence;predation;decrease;high;Arctic lakes
Hansson;2000;b;in vivo;fish_presence;predation;decrease;high;temperate lakes
Hansson;2000;b;in vitro;fish_presence;predation;no change;high;
Hansson;2000;b;in vitro;UV_fish;predation;decrease;high;
Hansson;2004;;in vivo;fish_presence;predation;decrease;high;calanoids
Hansson;2004;;in vivo;fish_presence;predation;decrease;high;cyclopoids
Hansson;2004;;in vitro;fish_presence;predation;no change;high;cyclopoids
Hansson;2004;;in vitro;fish_presence;predation;decrease;high;calanoids
Hansson;2004;;in vivo;threat_ratio;NA;increase;high;(UV/predation) for calanoids + cyclopoids
Hansson;2004;;in vitro;individual_depth;env;no change;high;calanoids
Hansson;2004;;in vitro;individual_depth;env;no change;high;cyclopoids
Holeton et al.;2009;;in vitro;diet_quantity;diet;increase;high;increase of concentrations until 200 μg.L-1 of algal concentrations, then low astaxanthin concentrations (but more respiration, ingestion and egg production)
Hylander et al. ;2009;b;in vitro;UV_radiations;light_radiations;increase;high;all carotenoid data pooled over the experimental period and plotted against UV therat
Hylander et al. ;2009;b;in vitro;fish_presence;predation;decrease;high;no increase of carotenoid content if fish cues present
Hylander et al. ;2009;b;in vitro;UV_fish;predation;decrease;high;ranking predation as a more severe threat than UV radiations
Hylander et al. ;2012;;in vitro;fish_presence;predation;decrease;high;but compensation of antioxydant properties by an increase of GST activity
Hylander & Jephson ;2010;;in vitro;UV_radiations;light_radiations;no change;high;no change for carotenoids but more MAAs accumulation 
Hylander;2009;a;in vivo;lake_elevation;env;no change;high;
Hylander;2009;a;in vivo;lake_depth;env;no change;high;
Hylander;2009;a;in vivo;diet_quantity;diet;no change;high;chla concentration in water
Hylander;2009;a;in vivo;dissolved_organic_carbon;NA;no change;high;
Hylander;2009;a;in vivo;MAAs;metabolism;decrease;high;
Hylander;2009;a;in vivo;UV_radiations;light_radiations;increase;high;in subarctic region
Hylander;2009;a;in vivo;UV_radiations;light_radiations;no change;high;in temperate region
Hylander;2009;a;in vivo;UV_radiations;light_radiations;no change;high;in dry-temperate region
Hylander;2009;a;in vivo;body_length;metabolism;no change;high;
Hylander;2009;a;in vitro;MAAs;metabolism;decrease;high;synthesis from Fig.5 results, in general if MAAs synsthesis, then less carotenoids are produced
Hylander;2009;a;in vitro;UV_radiations;light_radiations;increase;high;synthesis from Fig.5 results
Hylander;2009;a;in vitro;fish_presence;predation;decrease;high;synthesis from Fig.5 for mean carotenoids content in fish against no fish conditions
Hylander;2009;a;in vitro;UV_-MAAs_fish;NA;no change;high;synthesis from Fig.5 results,  less reproductive output because no carotenoid and no MAAs (poor food)
Hylander;2009;a;in vitro;UV_+MAAs_fish;NA;decrease;high;synthesis from Fig.5 results
Hylander;2009;a;in vivo;latitude_discrete;env;increase;medium;maximum in temerature and sub-arctic in comparison with dry-temperate
Hylander & Hansson;2013;;in vivo;body_length;metabolism;decrease;high;
Hylander & Hansson;2013;;in vitro;UV_radiations;light_radiations;increase;high;
Hylander et al.;2015;;in vivo;ice_cover;env;no change;medium;C. finmarchicus not significant but a small increase
Hylander et al.;2015;;in vivo;ice_cover;env;no change;medium;C.glacialis not significant but a small increase
Hylander et al.;2015;;in vivo;ice_cover;env;no change;medium;C. hyperboreus not significant but a small increase
Hylander et al.;2015;;in vivo;diurnal_variations;light_radiations;no change;high;for C.finmarchicus
Hylander et al.;2015;;in vivo;individual_depth;env;no change;high;for C.finmarchicus
Hylander et al.;2015;;in vivo;body_length;metabolism;increase;high;according to species : more carotenoids in C. hyperboreus than in C.finmarchicus
Hylander et al.;2014;;in vitro;MAAs;metabolism;no change;high;carotenoids levels are the same no matter if the diet allow MAAs synthesis or not
Hylander et al.;2014;;in vitro;UV_radiations;light_radiations;no change;high;no effects for carotenoids but effects for MAAs
Hansson et al.;2007;;in vitro;UV_radiations;light_radiations;increase;high;no vertical migration in response to UV radiations
Hansson et al.;2007;;in vitro;natural_light;light_radiations;decrease;high;no UV
Hansson et al.;2007;;in vitro;latitude_discrete;env;increase;high;more carotenoids in siberia than in sweden
Alcocer et al. ;2020;;in vivo;UV_radiations;light_radiations;increase;high;
Alcocer et al. ;2020;;in vivo;natural_light;light_radiations;increase;high;significant negative correlation between light attenuation and carotenoid content
Herring;1972;;in vivo;lipid_content;metabolism;no change;low;data for copepods from Fisher et al. 1964
Herring;1972;;in vivo;individual_depth;env;no change;low;mixed communities of zooplankton
Nobakht et al.;2016;;in vitro;diet_composition;diet;increase;high;better if mixed diet (diatom + haptophyte)
Nobakht et al.;2016;;in vitro;diet_quantity;diet;increase;high;augemntation of individual carotenoid content for all diets if quanitify goes from 500O to 30000 cells/mL 
Juhl et al.;1996;;in vitro;feeding_activity;diet;increase;high;if starved, decrease in 2h - if fed, increase of 50% in 24h
Kleppel et al. ;1985;;in vivo;diet_quantity;diet;no change;high;chla and phaeopigments in water, diet quality discussed
Kleppel et al. ;1985;;in vitro;feeding_activity;diet;increase;high;feeding activity estimated from chla and phaeopigment, fluorescence and temperature
Kleppel et al. ;1985;;in vivo;diurnal_variations;light_radiations;increase;high;maximum at midnight, camouflage discussed
Lee et al.;2019;;in vivo;fish_presence;predation;decrease;medium;comparison high predation/no predation, medium confidence beacause of the technique
Lee et al.;2019;;in vivo;fish_presence;predation;no change;medium;comparison low predation/no predation
Lee et al.;2019;;in vitro;removal of UV radiations;NA;decrease;medium;population dependant
Lee et al.;2019;;in vitro;removal of UV radiations;NA;decrease;medium;population dependant
Lee et al.;2019;;in vitro;removal of UV radiations;NA;increase;medium;population dependant
Lee et al.;2019;;in vitro;fish_presence;predation;no change;medium;population dependant
Luecke & O'Brien;1981;;in vivo;fish_presence;predation;decrease;high;
Luecke & O'Brien;1981;;in vivo;individual_depth;env;decrease;high;a green and red morph, both linked to carotenoids, no at the same depths
Moeller et al.;2005;;in vitro;UV_radiations;light_radiations;increase;high;carotenoids synthesis stimulated by UVR but only if MAAs precursors absent
Moeller et al.;2005;;in vivo;MAAs;metabolism;decrease;low;just from graphical interpration if Fig. 2
Moeller et al.;2005;;in vitro;MAAs;metabolism;decrease;high;Fig. 10
Moeller et al.;2005;;in vitro;UV_radiations_+MAAs;NA;no change;high;MAAS in priority
Persault et al.;2007;;in vivo;MAAs;metabolism;decrease;low;A. spatulocrenatus, from fig 1a but not statistically tested
Persault et al.;2007;;in vivo;MAAs;metabolism;decrease;low;L.minutus, from fig 1a but not statistically tested
Persault et al.;2007;;in vivo;UV_radiations;light_radiations;no change;low;L.minutus, from fig 1a and 1b but not statistically tested
Persault et al.;2007;;in vivo;UV_radiations;light_radiations;increase;low;C. scutifer, from fig 1a and 1b but not statistically tested
Persault et al.;2007;;in vivo;MAAs;metabolism;no change;low;C. scutifer from fig 1a, no statistics
Rhodes et al.;2007;;in vitro;diet_composition;diet;increase;high;better with a formulated feed : depend on pigments precursors
Ringelberg and Hallegraeff;1976;;in vivo;diurnal_variations;light_radiations;increase;low;clear variations but no statiscial test
Schneider et al.;2012;;in vivo;dissolved_organic_carbon;NA;increase;high;
Schneider et al.;2012;;in vivo;diet_quantity;diet;increase;high;total suspended solids + Chla according to the PCA (fig 2)
Schneider et al.;2012;;in vivo;pH;NA;increase;high;
Schneider et al.;2012;;in vivo;temperature;env;no change;high;
Schneider et al.;2012;;in vivo;UV_radiations;light_radiations;no change;high;cannot explain pigment variations alone, refuge hypothesis with the presence of macrophytes
Schneider et al.;2016;;in vivo;UV_radiations;light_radiations;decrease;high;table I
Schneider et al.;2016;;in vivo;temperature ;env;decrease;high;table I
Schneider et al.;2016;;in vivo;diet_composition;diet;no change;high;table I
Schneider et al.;2016;;in vivo;diet_quantity;diet;decrease;high;table I
Schneider et al.;2016;;in vivo;fish_presence;predation;decrease;high;table I, feeding pressure by young-of-the-year fish
Schneider et al.;2016;;in vivo;egg_ratio;metabolism;no change;high;table I
Schneider et al.;2016;;in vivo;ice_cover;env;increase;high;table I
Schneider et al.;2016;;in vivo;lipid_content;metabolism;increase;high;table I
Schneider et al.;2017;;in vivo;lipid_content_of_eggs;NA;increase;high;
Siefken & Armitage;1967;;in vivo;temperature ;env;decrease;high;
Snoeijs & Häubner;2014;;in vivo;temperature;env;decrease;high;figure 6, for astaxanthin in ng per microgram of carbon
Snoeijs & Häubner;2014;;in vivo;zoo_community_composition;NA;increase;high;a lot of astaxanthin if T. longicornis abundant in the zooplankton community and less cladocerans
